film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
2,"ACE GOLDFINGER","A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China",2006,1,NULL,3,4.99,48,12.99,G,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
3,"ADAPTATION HOLES","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory",2006,1,NULL,7,2.99,50,18.99,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
6,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",2006,1,NULL,3,2.99,169,17.99,PG,"Deleted Scenes","2006-02-15 05:03:42"
8,"AIRPORT POLLOCK","A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India",2006,1,NULL,6,4.99,54,15.99,R,Trailers,"2006-02-15 05:03:42"
11,"ALAMO VIDEOTAPE","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention",2006,1,NULL,6,0.99,126,16.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
17,"ALONE TRIP","A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House",2006,1,NULL,3,0.99,82,14.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
21,"AMERICAN CIRCUS","A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank",2006,1,NULL,3,4.99,129,17.99,R,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
24,"ANALYZE HOOSIERS","A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert",2006,1,NULL,6,2.99,181,19.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
25,"ANGELS LIFE","A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin",2006,1,NULL,3,2.99,74,15.99,G,Trailers,"2006-02-15 05:03:42"
26,"ANNIE IDENTITY","A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park",2006,1,NULL,3,0.99,86,15.99,G,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
