film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
8,"AIRPORT POLLOCK","A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India",2006,1,NULL,6,4.99,54,15.99,R,Trailers,"2006-02-15 05:03:42"
17,"ALONE TRIP","A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House",2006,1,NULL,3,0.99,82,14.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
20,"AMELIE HELLFIGHTERS","A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon",2006,1,NULL,4,4.99,79,23.99,R,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
21,"AMERICAN CIRCUS","A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank",2006,1,NULL,3,4.99,129,17.99,R,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
23,"ANACONDA CONFESSIONS","A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia",2006,1,NULL,3,0.99,92,9.99,R,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
24,"ANALYZE HOOSIERS","A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert",2006,1,NULL,6,2.99,181,19.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
30,"ANYTHING SAVANNAH","A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House",2006,1,NULL,4,2.99,82,27.99,R,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
32,"APOCALYPSE FLAMINGOS","A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park",2006,1,NULL,6,4.99,119,11.99,R,"Trailers,Commentaries","2006-02-15 05:03:42"
40,"ARMY FLINTSTONES","A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria",2006,1,NULL,4,0.99,148,22.99,R,"Trailers,Commentaries","2006-02-15 05:03:42"
49,"BADMAN DAWN","A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat",2006,1,NULL,6,2.99,162,22.99,R,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
54,"BANGER PINOCCHIO","A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station",2006,1,NULL,5,0.99,113,15.99,R,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
59,"BEAR GRACELAND","A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station",2006,1,NULL,4,2.99,160,20.99,R,"Deleted Scenes","2006-02-15 05:03:42"
60,"BEAST HUNCHBACK","A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China",2006,1,NULL,3,4.99,89,22.99,R,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
69,"BEVERLY OUTLAW","A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station",2006,1,NULL,3,2.99,85,21.99,R,Trailers,"2006-02-15 05:03:42"
86,"BOOGIE AMELIE","A Lacklusture Character Study of a Husband And a Sumo Wrestler who must Succumb a Technical Writer in The Gulf of Mexico",2006,1,NULL,6,4.99,121,11.99,R,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
90,"BOULEVARD MOB","A Fateful Epistle of a Moose And a Monkey who must Confront a Lumberjack in Ancient China",2006,1,NULL,3,0.99,63,11.99,R,Trailers,"2006-02-15 05:03:42"
100,"BROOKLYN DESERT","A Beautiful Drama of a Dentist And a Composer who must Battle a Sumo Wrestler in The First Manned Space Station",2006,1,NULL,7,4.99,161,21.99,R,Commentaries,"2006-02-15 05:03:42"
101,"BROTHERHOOD BLANKET","A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan",2006,1,NULL,3,0.99,73,26.99,R,"Behind the Scenes","2006-02-15 05:03:42"
102,"BUBBLE GROSSE","A Awe-Inspiring Panorama of a Crocodile And a Moose who must Confront a Girl in A Baloon",2006,1,NULL,4,4.99,60,20.99,R,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
115,"CAMPUS REMEMBER","A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat",2006,1,NULL,5,2.99,167,27.99,R,"Behind the Scenes","2006-02-15 05:03:42"
116,"CANDIDATE PERDITION","A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station",2006,1,NULL,4,2.99,70,10.99,R,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
118,"CANYON STOCK","A Thoughtful Reflection of a Waitress And a Feminist who must Escape a Squirrel in A Manhattan Penthouse",2006,1,NULL,7,0.99,85,26.99,R,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
129,"CAUSE DATE","A Taut Tale of a Explorer And a Pastry Chef who must Conquer a Hunter in A MySQL Convention",2006,1,NULL,3,2.99,179,16.99,R,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
135,"CHANCE RESURRECTION","A Astounding Story of a Forensic Psychologist And a Forensic Psychologist who must Overcome a Moose in Ancient China",2006,1,NULL,3,2.99,70,22.99,R,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
